Age,Income,Employment_Length,Loan_Amount,Interest_Rate,Loan_Status,Loan_Percent_Income,Historical_Length,Historical_Default_Y,Home_Status_MORTGAGE,Home_Status_OTHER,Home_Status_OWN,Home_Status_RENT,Loan_Intent_DEBTCONSOLIDATION,Loan_Intent_EDUCATION,Loan_Intent_HOMEIMPROVEMENT,Loan_Intent_MEDICAL,Loan_Intent_PERSONAL,Loan_Intent_VENTURE,Loan_Grade_A,Loan_Grade_B,Loan_Grade_C,Loan_Grade_D,Loan_Grade_E,Loan_Grade_F,Loan_Grade_G
0,-0.017974150728628242,-0.19336063664536673,4.005359894679676,1.2975659721066573,1,3.3895563263846435,-0.9396814594354024,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0.5543240126872039,-0.6889565321274312,4.005359894679676,-0.9722385084402032,1,1.8852220280139338,-0.9396814594354024,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0.9423227675453951,-0.6889565321274312,4.005359894679676,-0.9722385084402032,0,1.2270757724767483,-0.4442717252951768,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,8.411298798565577,0.55003320657773,3.215181896029545,-0.1206747538012037,0,-1.0294256750793156,-0.6919765923652896,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1.039322456259943,-1.1845524276094956,4.005359894679676,-0.9722385084402032,0,1.1330548788285788,-0.4442717252951768,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0.49827759254793813,0.55003320657773,4.005359894679676,2.852056898756758,1,1.4151175597730872,-0.4442717252951768,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0.903522892059576,0.7978311543187623,4.005359894679676,2.2327378044738495,1,1.3210966661249177,-0.4442717252951768,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,-1.0752707577171994,-1.1845524276094956,-1.3046362562492033,-0.532521951499338,0,-0.3712794195421302,-0.6919765923652896,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,4.5313112499836645,-0.9367544798684635,2.3064771975818945,2.5919428791579366,0,-0.8413838877829769,-0.9396814594354024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0.2245250710577413,0.55003320657773,3.215181896029545,2.347311836916188,1,1.979242921662103,-0.6919765923652896,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0.4962017992094468,0.3022352588366978,3.215181896029545,1.2975659721066573,1,1.5091384534212566,-0.6919765923652896,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0.593123888173023,0.55003320657773,3.215181896029545,-0.1206747538012037,1,1.3210966661249177,-0.9396814594354024,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,-0.027674119600083025,-0.6889565321274312,2.8991106965694926,-0.9722385084402032,1,2.4493473899029494,-0.9396814594354024,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1.6446005138387214,0.55003320657773,2.8991106965694926,0.02176863788386502,0,0.1928459423468858,-0.9396814594354024,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.07617396395735693,0.55003320657773,2.5830394971094406,0.20756436616873808,1,2.35532649625478,-0.9396814594354024,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1.039322456259943,-0.9367544798684635,2.51982525721743,0.5110307223673629,0,0.38088772964322437,-0.6919765923652896,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0.3215247597722891,0.55003320657773,2.472414577298422,-0.015390507773109262,1,1.2270757724767483,-0.6919765923652896,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,-1.036548481982352,-1.1845524276094956,-1.146600656519177,0.7587583600805267,1,0.09882504869871638,-0.9396814594354024,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,3.076315919265447,0.7978311543187623,-0.3406190978960437,-0.7461870390269414,0,-1.3114883560238235,-0.9396814594354024,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,-0.3186731857437265,-0.9367544798684635,2.425003897379414,-0.9722385084402032,1,3.1074936454401354,-0.6919765923652896,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,-0.3186731857437265,-0.9367544798684635,2.425003897379414,0.24472351182571236,1,3.1074936454401354,-0.4442717252951768,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,-1.0325908946827984,-0.441158584386399,-0.7436098772076104,-0.9722385084402032,1,1.979242921662103,-0.4442717252951768,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,2.901716479579261,0.054437311095665505,1.7928614984593096,-0.6625789612987488,0,-0.6533421004866382,-0.6919765923652896,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,2.8823165418363517,0.55003320657773,4.005359894679676,1.161315771364417,0,-0.08921673859762219,-0.6919765923652896,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,-0.27987331025790735,-0.9367544798684635,2.425003897379414,0.6751502823523341,1,2.9194518581437965,-0.9396814594354024,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
